Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,088123,1969,07,98.8,Y
IDCJAC0001,088123,1969,08,57.5,Y
IDCJAC0001,088123,1969,09,98.5,Y
IDCJAC0001,088123,1969,10,16.8,Y
IDCJAC0001,088123,1969,11,30.1,Y
IDCJAC0001,088123,1969,12,41.8,Y
IDCJAC0001,088123,1970,01,127.3,Y
IDCJAC0001,088123,1970,02,3.8,Y
IDCJAC0001,088123,1970,03,99.6,Y
IDCJAC0001,088123,1970,04,116.3,Y
IDCJAC0001,088123,1970,05,59.2,Y
IDCJAC0001,088123,1970,06,65.6,Y
IDCJAC0001,088123,1970,07,57.4,Y
IDCJAC0001,088123,1970,08,113.7,Y
IDCJAC0001,088123,1970,09,76.4,Y
IDCJAC0001,088123,1970,10,37.8,Y
IDCJAC0001,088123,1970,11,129.8,Y
IDCJAC0001,088123,1970,12,60.1,Y
IDCJAC0001,088123,1971,01,62.8,Y
IDCJAC0001,088123,1971,02,72.2,Y
IDCJAC0001,088123,1971,03,13.3,Y
IDCJAC0001,088123,1971,04,110.4,Y
IDCJAC0001,088123,1971,05,120.7,Y
IDCJAC0001,088123,1971,06,80.4,Y
IDCJAC0001,088123,1971,07,48.3,Y
IDCJAC0001,088123,1971,08,56.8,Y
IDCJAC0001,088123,1971,09,82.4,Y
IDCJAC0001,088123,1971,10,122.3,Y
IDCJAC0001,088123,1971,11,73.4,Y
IDCJAC0001,088123,1971,12,84.1,Y
IDCJAC0001,088123,1972,01,28.9,Y
IDCJAC0001,088123,1972,02,127.1,Y
IDCJAC0001,088123,1972,03,32.0,Y
IDCJAC0001,088123,1972,04,59.6,Y
IDCJAC0001,088123,1972,05,37.8,Y
IDCJAC0001,088123,1972,06,46.8,Y
IDCJAC0001,088123,1972,07,79.9,Y
IDCJAC0001,088123,1972,08,81.4,Y
IDCJAC0001,088123,1972,09,44.7,Y
IDCJAC0001,088123,1972,10,47.1,Y
IDCJAC0001,088123,1972,11,33.9,Y
IDCJAC0001,088123,1972,12,0.0,Y
IDCJAC0001,088123,1973,01,131.4,Y
IDCJAC0001,088123,1973,02,217.6,Y
IDCJAC0001,088123,1973,03,31.8,Y
IDCJAC0001,088123,1973,04,84.6,Y
IDCJAC0001,088123,1973,05,114.5,Y
IDCJAC0001,088123,1973,06,117.5,Y
IDCJAC0001,088123,1973,07,80.9,Y
IDCJAC0001,088123,1973,08,107.5,Y
IDCJAC0001,088123,1973,09,142.2,Y
IDCJAC0001,088123,1973,10,123.9,Y
IDCJAC0001,088123,1973,11,54.9,Y
IDCJAC0001,088123,1973,12,63.7,Y
IDCJAC0001,088123,1974,01,79.8,Y
IDCJAC0001,088123,1974,02,43.8,Y
IDCJAC0001,088123,1974,03,69.6,Y
IDCJAC0001,088123,1974,04,130.0,Y
IDCJAC0001,088123,1974,05,130.2,Y
IDCJAC0001,088123,1974,06,33.8,Y
IDCJAC0001,088123,1974,07,117.6,Y
IDCJAC0001,088123,1974,08,111.0,Y
IDCJAC0001,088123,1974,09,111.7,Y
IDCJAC0001,088123,1974,10,113.8,Y
IDCJAC0001,088123,1974,11,32.0,Y
IDCJAC0001,088123,1974,12,25.0,Y
IDCJAC0001,088123,1975,01,23.6,Y
IDCJAC0001,088123,1975,02,5.2,Y
IDCJAC0001,088123,1975,03,61.2,Y
IDCJAC0001,088123,1975,04,14.5,Y
IDCJAC0001,088123,1975,05,103.4,Y
IDCJAC0001,088123,1975,06,34.1,Y
IDCJAC0001,088123,1975,07,121.9,Y
IDCJAC0001,088123,1975,08,102.0,Y
IDCJAC0001,088123,1975,09,138.5,Y
IDCJAC0001,088123,1975,10,239.8,Y
IDCJAC0001,088123,1975,11,46.6,Y
IDCJAC0001,088123,1975,12,70.7,Y
IDCJAC0001,088123,1976,01,12.5,Y
IDCJAC0001,088123,1976,02,46.6,Y
IDCJAC0001,088123,1976,03,30.5,Y
IDCJAC0001,088123,1976,04,10.2,Y
IDCJAC0001,088123,1976,05,33.4,Y
IDCJAC0001,088123,1976,06,69.0,Y
IDCJAC0001,088123,1976,07,36.6,Y
IDCJAC0001,088123,1976,08,70.5,Y
IDCJAC0001,088123,1976,09,86.8,Y
IDCJAC0001,088123,1976,10,68.4,Y
IDCJAC0001,088123,1976,11,136.8,Y
IDCJAC0001,088123,1976,12,59.6,Y
IDCJAC0001,088123,1977,01,35.6,Y
IDCJAC0001,088123,1977,02,78.8,Y
IDCJAC0001,088123,1977,03,50.4,Y
IDCJAC0001,088123,1977,04,37.4,Y
IDCJAC0001,088123,1977,05,97.4,Y
IDCJAC0001,088123,1977,06,115.4,Y
IDCJAC0001,088123,1977,07,60.2,Y
IDCJAC0001,088123,1977,08,50.4,Y
IDCJAC0001,088123,1977,09,37.2,Y
IDCJAC0001,088123,1977,10,28.4,Y
IDCJAC0001,088123,1977,11,42.4,Y
IDCJAC0001,088123,1977,12,8.8,Y
IDCJAC0001,088123,1978,01,45.8,Y
IDCJAC0001,088123,1978,02,13.8,Y
IDCJAC0001,088123,1978,03,57.0,Y
IDCJAC0001,088123,1978,04,48.4,Y
IDCJAC0001,088123,1978,05,100.6,Y
IDCJAC0001,088123,1978,06,74.2,Y
IDCJAC0001,088123,1978,07,107.4,Y
IDCJAC0001,088123,1978,08,97.2,Y
IDCJAC0001,088123,1978,09,65.6,Y
IDCJAC0001,088123,1978,10,78.8,Y
IDCJAC0001,088123,1978,11,73.6,Y
IDCJAC0001,088123,1978,12,44.8,Y
IDCJAC0001,088123,1979,01,60.8,Y
IDCJAC0001,088123,1979,02,51.4,Y
IDCJAC0001,088123,1979,03,5.0,Y
IDCJAC0001,088123,1979,04,59.6,Y
IDCJAC0001,088123,1979,05,88.5,Y
IDCJAC0001,088123,1979,06,44.8,Y
IDCJAC0001,088123,1979,07,49.8,Y
IDCJAC0001,088123,1979,08,114.6,Y
IDCJAC0001,088123,1979,09,154.4,Y
IDCJAC0001,088123,1979,10,108.6,Y
IDCJAC0001,088123,1979,11,26.2,Y
IDCJAC0001,088123,1979,12,12.2,Y
IDCJAC0001,088123,1980,01,20.4,Y
IDCJAC0001,088123,1980,02,3.0,Y
IDCJAC0001,088123,1980,03,11.0,Y
IDCJAC0001,088123,1980,04,84.6,Y
IDCJAC0001,088123,1980,05,44.8,Y
IDCJAC0001,088123,1980,06,94.0,Y
IDCJAC0001,088123,1980,07,78.4,Y
IDCJAC0001,088123,1980,08,92.4,Y
IDCJAC0001,088123,1980,09,90.5,Y
IDCJAC0001,088123,1980,10,89.4,Y
IDCJAC0001,088123,1980,11,42.0,Y
IDCJAC0001,088123,1980,12,52.4,Y
IDCJAC0001,088123,1981,01,49.2,Y
IDCJAC0001,088123,1981,02,15.8,Y
IDCJAC0001,088123,1981,03,53.6,Y
IDCJAC0001,088123,1981,04,11.2,Y
IDCJAC0001,088123,1981,05,74.8,Y
IDCJAC0001,088123,1981,06,164.2,Y
IDCJAC0001,088123,1981,07,161.6,Y
IDCJAC0001,088123,1981,08,175.6,Y
IDCJAC0001,088123,1981,09,34.0,Y
IDCJAC0001,088123,1981,10,54.4,Y
IDCJAC0001,088123,1981,11,42.8,Y
IDCJAC0001,088123,1981,12,22.8,Y
IDCJAC0001,088123,1982,01,58.2,Y
IDCJAC0001,088123,1982,02,1.4,Y
IDCJAC0001,088123,1982,03,104.0,Y
IDCJAC0001,088123,1982,04,20.4,Y
IDCJAC0001,088123,1982,05,36.2,Y
IDCJAC0001,088123,1982,06,40.0,Y
IDCJAC0001,088123,1982,07,30.0,Y
IDCJAC0001,088123,1982,08,27.6,Y
IDCJAC0001,088123,1982,09,36.4,Y
IDCJAC0001,088123,1982,10,18.8,Y
IDCJAC0001,088123,1982,11,11.0,Y
IDCJAC0001,088123,1982,12,31.5,Y
IDCJAC0001,088123,1983,01,12.8,Y
IDCJAC0001,088123,1983,02,0.6,Y
IDCJAC0001,088123,1983,03,66.0,Y
IDCJAC0001,088123,1983,04,90.2,Y
IDCJAC0001,088123,1983,05,144.2,Y
IDCJAC0001,088123,1983,06,67.2,Y
IDCJAC0001,088123,1983,07,140.0,Y
IDCJAC0001,088123,1983,08,97.9,Y
IDCJAC0001,088123,1983,09,129.0,Y
IDCJAC0001,088123,1983,10,71.4,Y
IDCJAC0001,088123,1983,11,106.8,Y
IDCJAC0001,088123,1983,12,10.8,Y
IDCJAC0001,088123,1984,01,73.6,Y
IDCJAC0001,088123,1984,02,19.4,Y
IDCJAC0001,088123,1984,03,105.4,Y
IDCJAC0001,088123,1984,04,49.4,Y
IDCJAC0001,088123,1984,05,36.4,Y
IDCJAC0001,088123,1984,06,29.2,Y
IDCJAC0001,088123,1984,07,77.4,Y
IDCJAC0001,088123,1984,08,158.5,Y
IDCJAC0001,088123,1984,09,68.8,Y
IDCJAC0001,088123,1984,10,54.8,Y
IDCJAC0001,088123,1984,11,49.8,Y
IDCJAC0001,088123,1984,12,20.2,Y
IDCJAC0001,088123,1985,01,26.4,Y
IDCJAC0001,088123,1985,02,3.2,Y
IDCJAC0001,088123,1985,03,18.6,Y
IDCJAC0001,088123,1985,04,52.6,Y
IDCJAC0001,088123,1985,05,94.6,Y
IDCJAC0001,088123,1985,06,57.0,Y
IDCJAC0001,088123,1985,07,61.2,Y
IDCJAC0001,088123,1985,08,158.0,Y
IDCJAC0001,088123,1985,09,33.6,Y
IDCJAC0001,088123,1985,10,105.6,Y
IDCJAC0001,088123,1985,11,72.6,Y
IDCJAC0001,088123,1985,12,183.0,Y
IDCJAC0001,088123,1986,01,15.6,Y
IDCJAC0001,088123,1986,02,19.6,Y
IDCJAC0001,088123,1986,03,1.4,Y
IDCJAC0001,088123,1986,04,91.8,Y
IDCJAC0001,088123,1986,05,91.1,Y
IDCJAC0001,088123,1986,06,40.6,Y
IDCJAC0001,088123,1986,07,128.4,Y
IDCJAC0001,088123,1986,08,86.2,Y
IDCJAC0001,088123,1986,09,73.2,Y
IDCJAC0001,088123,1986,10,145.8,Y
IDCJAC0001,088123,1986,11,13.6,Y
IDCJAC0001,088123,1986,12,71.2,Y
IDCJAC0001,088123,1987,01,23.8,Y
IDCJAC0001,088123,1987,02,36.0,Y
IDCJAC0001,088123,1987,03,27.7,Y
IDCJAC0001,088123,1987,04,34.9,Y
IDCJAC0001,088123,1987,05,142.0,Y
IDCJAC0001,088123,1987,06,154.8,Y
IDCJAC0001,088123,1987,07,88.0,Y
IDCJAC0001,088123,1987,08,69.8,Y
IDCJAC0001,088123,1987,09,38.2,Y
IDCJAC0001,088123,1987,10,55.2,Y
IDCJAC0001,088123,1987,11,50.4,Y
IDCJAC0001,088123,1987,12,70.4,Y
